name,location,price_lacs,area_sqft,bhk,is_reviewed
jai hanuman residency,"konnagar, hooghly",26.93,1036,3,0
swan court,new town,80.0,1012,2,1
ambey eco valley,new town,90.0,941,2,0
mani casa,new town,200.0,1515,3,0
rishi ecoview,new town,90.0,1350,2,1
anamika chs,action area 1,95.0,1480,3,0
south city,ce anwar shah rd,400.0,2068,4,1
urbana,"em bypass,  south",350.0,2050,3,1
jeet group,nayabad,45.0,981,2,0
siddha eden lakeville,bt road,125.0,1450,3,1
jeet group,nayabad,39.15,870,2,0
sova villa,madhyamgram,29.09,831,2,0
jeet group,"purbalok, em bypass",84.57,1301,3,0
jeet group,nayabad,49.86,1108,3,0
shrachi greenwood elements,new town,56.0,822,2,1
south city,ce anwar shah rd,235.0,1472,3,1
the soul,rajarhat,80.0,610,2,1
siddha happyville,rajarhat,112.99999999999999,1397,3,1
elita garden vista,new town,124.0,1742,3,1
dtc southern heights,"joka,  south",83.0,1370,3,0
soma villa,madhyamgram,30.34,867,2,0
rani kuthi,madhyamgram,27.19,824,2,0
soma villa,madhyamgram,31.57,902,2,0
individual apartment,action area 1,65.0,1098,2,0
rishi ecoview,new town,83.0,1384,3,1
jeet group,"madurdaha, em bypass",67.0,1275,3,0
jeet group,nayabad,50.0,1108,3,0
jeet group,nayabad,45.0,980,2,0
jonaki,"sodepur,  north",28.8,884,2,0
jeet group,nayabad,50.0,1090,3,0
aristocrat,"sodepur,  north",34.0,1000,2,0
rani kuthi,madhyamgram,25.61,776,2,0
ranikuthi,madhyamgram,25.01,758,2,0
sova villa,madhyamgram,31.08,888,2,0
cooperative flat,new town,87.0,1181,3,0
sristi apartment,"sakher bazar, barisha",29.0,672,2,0
ps one 10,new town,280.0,2166,4,1
anupama co operative society,vip road,52.0,1150,3,0
sarovaar,action area 3,60.97,1163,3,0
sarovaar,action area 3,59.05,1125,3,0
sarovaar,action area 3,32.7,606,1,0
sarovaar,new town,47.68,901,2,0
sarovaar apartment,action area 3,31.13,575,1,0
eden brookside,thakurpukur,43.0,1140,3,0
sova villa,madhyamgram,29.37,839,2,0
tirath apartment,ar park,74.0,1353,3,0
swan court,new town,140.0,1670,3,1
tata 88 east,alipore,450.0,1500,3,0
rishi ecoview,new town,95.0,1384,3,1
siddha eden lakeville,bt road,51.0,725,2,1
s u abason,"uttarpara, hooghly",34.0,848,2,0
shakuntala ii,nayabad,41.0,825,2,0
shakuntala ii,nayabad,38.0,775,2,0
on request,"purbalok, em bypass",90.0,1307,3,0
sova villa,madhyamgram,29.08,831,2,0
tirupati paradise,narendrapur,32.83,938,2,0
tata eden court,action area 2e,175.0,2180,3,1
bengal dcl sampoorna,action area 2,303.0,3700,5,1
greenfield ambition,rajarhat,56.0,780,2,0
on request,jodhpur park,470.0,5000,4,0
bengal dcl sampoorna,action area 2,330.0,3303,5,1
on request,"abdalpur, madhyamgram",60.0,2500,4,0
on request,"abdalpur, madhyamgram",38.0,1080,2,0
rani kuthi,madhyamgram,18.51,561,1,0
rani kuthi,madhyamgram,24.68,748,2,0
"shivam prisma, uttarpara","makhla government colony, uttarpara",28.49,1075,3,0
rani kuthi,madhyamgram,16.43,498,1,0
sarovaar,action area 3,47.68,901,2,0
sarovaar,action area 3,51.23,971,2,0
gk mansion,birati,29.75,850,2,0
on request,"lake view road, ballygunge",180.0,1550,3,0
on request,"panditiya road , ballygunge",320.0,3000,6,0
on request,hazra road,122.0,1283,3,0
on request new,"madurdaha, em bypass",101.0,1550,3,0
on request new,"madurdaha, em bypass",80.0,1240,3,0
on request,new garia,92.56,1424,3,0
siddha eden lakeville,bt road,66.0,840,2,1
siddha eden lakeville,bt road,64.0,795,2,1
on request,"madurdaha, em bypass",57.0,1450,3,0
on request new,thakurpukur,34.85,1025,3,0
emami city,jessore road,100.0,1150,2,1
the soul,rajarhat,135.0,1310,3,1
ideal aquaview,new town,127.0,1475,3,1
on request,bansdroni,53.0,900,2,0
on request,bansdroni,71.5,1100,3,0
on request,garia,36.0,774,2,0
hiland park,"em bypass,  south",105.0,1264,3,1
on request,"lake view road, ballygunge",220.00000000000003,1850,3,0
residential apartment,jodhpur park,42.0,725,2,0
on request,"madurdaha, em bypass",41.0,850,2,0
eden tolly greenwood,"ramchandrapur, narendrapur",36.0,1196,2,0
nirmala orchid,south dumdum,106.0,1397,3,0
nirmala orchid,south dumdum,57.9,919,2,0
on request,mukundapur,95.0,1300,3,0
on request,jodhpur park,160.0,1450,3,0
on request,ganguly bagan,55.25,850,2,0
hiland park,"em bypass,  south",90.0,1206,2,1
sova villa,madhyamgram,29.09,831,2,0
"madhyamgram, kolkata, kolkata north",madhyamgram,56.0,1500,3,0
rishi ecoview,new town,88.0,1316,3,1
ganga jamuna apartment,tollygunge,130.0,1025,3,0
protiti,jodhpur park,165.0,1500,3,0
protiti,jodhpur park,325.0,3000,6,0
upohar the condoville,garia,290.0,3620,4,0
eden pavilion,"fartabad, garia",75.0,1404,3,0
bakul binayak,nayabad,62.0,1350,3,0
standalone apartments,jodhpur park,190.0,1712,3,0
chorus apartment,new town,143.0,1550,3,0
green verge,new town,62.0,1050,2,0
hidco appartment,new town,98.0,1350,3,0
aqua view,new town,62.0,900,2,0
agr,action area 1,120.0,1700,3,0
tata avenida,new town,302.0,2385,3,1
mohorkunja ii,"chit kalikapur, mukundapur",69.0,1117,3,0
soma villa,madhyamgram,26.6,760,2,0
soma villa,madhyamgram,35.84,1024,3,0
standalone building,new town,97.0,1310,3,0
rajwada altitude,"em bypass,  south",106.0,1455,3,1
on request,purba barisha,60.0,1131,3,0
sangeetayan,garia,35.0,1000,2,0
khatti mithi,"naktala, garia",48.0,799,2,0
tripurasundari apartment,"mahamayatala, garia",50.0,1210,3,0
basant bahar kolkata,"mahamayatala, garia",38.0,800,2,0
deeshari megacity,southern bypass,45.0,1292,4,1
deeshari megacity,southern bypass,38.25,1268,3,1
deeshari megacity,southern bypass,37.25,1268,3,1
deeshari megacity,southern bypass,38.0,1268,3,1
atri aqua,narendrapur,40.0,856,2,0
atri aqua,narendrapur,35.0,856,2,0
atri aqua,narendrapur,27.5,694,1,0
atri aqua,narendrapur,49.0,1162,3,0
atri aqua,narendrapur,50.0,1162,3,0
atri rays,narendrapur,46.0,1018,3,0
on request,"saha para, fartabad, garia",58.5,1044,2,0
unitech universal cascades,new town,96.0,1475,2,0
dream bhagirathi apartment,"pathanpur, birati",38.34,1065,3,0
on request,"baguihati, vip road",27.45,686,2,0
on request,"purbalok, em bypass",90.0,1300,3,0
oas lake life township,"joka,  south",23.0,888,3,0
oas lake life township,"joka,  south",86.0,1800,4,0
oas lake life township,"joka,  south",85.0,2160,4,0
oas lake life township,"joka,  south",65.0,2160,3,0
oas lake life township,"joka,  south",52.25,1293,3,0
oas lake life township,"joka,  south",110.00000000000001,2880,3,0
