name,location,price_lacs,area_sqft,bhk,is_reviewed
jai hanuman residency,"konnagar, hooghly",26.93,1036,3,0
nirvana apartment,"dmotor, uttarpara",18.2,728,2,0
elsiyum,"topsia, em bypass",250.0,1690,3,0
bankim enclave,"phoolbagan, kankurgachi",150.0,1483,3,0
basundhara apartment,goa bagan,110.00000000000001,1365,3,0
jai matadi korunamoyee,"nitai nagar, mukundapur",70.0,1620,2,0
"1st floor, 46 a girish mukherjee road bhowanipur","bhawanipore, sarat bose road",110.00000000000001,1200,3,0
dakshini apartments,behala,22.0,700,2,0
"naam nei, mudiali, kolkata","mudially, sarat bose road",50.0,186,1,0
destination peerless,"konnagar, hooghly",34.0,1086,2,0
alfa rabindra bhavan,thakurpukur,33.0,650,2,0
fortune heights,"barasat,  north",73.0,1289,3,1
s d rohini complex,rajarhat,49.0,1058,2,0
madhyamgram apartment,madhyamgram,58.94,1387,2,0
the vedic village,rajarhat,440.00000000000006,5400,2,1
rangit residency,madhyamgram,50.0,1498,3,0
swagatam apartment,sree colony,40.0,878,2,0
dhanshree towers,alipore,125.0,1075,2,0
antaranga apartment nagerbazar,"nager bazar, jessore road",52.0,784,2,0
"vedic village, kolkata, kolkata east",vedic village,340.0,10800,5,0
dream park apartment,sonarpur,45.0,850,2,0
siddha waterfront,"khardah, bt road",55.0,1175,3,1
tubai apartment,"satyen park, thakurpukur",28.5,950,2,0
siddha suburbia,"baruipur,  south",55.0,995,2,1
chowringhee house,park street,130.0,1116,2,0
magnolia sports city,barrackpore,32.0,796,2,0
maya apartment,boral,29.0,850,2,0
irwo rail vihar,new town,140.0,1200,3,1
on request,"mandirtala, shibpur",47.0,820,2,0
nirala apartment,boral,18.0,500,2,0
fortune township,"barasat,  north",40.0,1101,3,1
"durganagar, belgharia expressway, kolkata, kolkata north","durganagar, belgharia expressway",75.0,1550,6,0
eden city maheshtala,maheshtala,42.0,1236,3,1
magnolia mulberry,new town,73.5,876,3,0
symphony serenity,"kamalgazi, southern bypass",52.0,937,2,0
"small complex, shantiuddan",behala chowrasta,130.0,2000,3,0
r k utthan 2,ar park,95.0,1560,3,0
south city villa,"tara park, behala",85.0,1435,3,0
stadium view chs sector iii salt lake,sector 3 salt lake,95.0,1100,3,0
ambuja uddipa the condoville,"thee, bt road",85.0,919,2,0
sailoke apartment,jadavpur,26.0,400,1,0
starlite sunny seasons,garia,45.0,880,2,0
"sanjeevani enclave, 406 gt raod","bally, howrah",72.0,1090,2,0
shankh mani,tollygunge,90.0,1316,2,1
"west anandapally, putiary, kolkata, kolkata south","west anandapally, putiary",33.0,1800,3,0
sunflower garden,"topsia, em bypass",219.0,1955,4,1
sgil gardenia,narendrapur,48.0,1127,3,0
swami vivekananda smriti bhavan,"chiriamore, bt road",90.0,1700,4,0
matri ashish,road,45.0,1008,3,0
upohar the condoville,garia,190.0,2079,3,0
rahul plaza,behala,50.0,831,2,0
"prince anwar shah rd, kolkata, kolkata south",ce anwar shah rd,80.0,1505,4,0
"hindmotor, uttarpara, hooghly","dmotor, uttarpara",62.0,1800,3,0
hiland prinsep,maheshtala,80.0,1790,3,0
skyline aparna,"park circus, ballygunge",239.0,1607,3,0
srijan botanica,"em bypass,  south",175.0,1966,4,0
ankur apartment,baguiati,30.0,780,2,0
philips parama abasan,behala,130.0,1650,4,0
"farsana tower , 58 topsia road beside rambow cable","em bypass,  south",36.0,676,2,0
lakshmi debi bhawan,"sakher bazar, barisha",48.5,950,2,0
eden city maheshtala,maheshtala,45.0,956,3,1
fortune heights,"barasat,  north",62.0,1093,3,1
ganguly 4 sight model town,garia,65.0,972,2,0
manor aspira aashiyana,rajarhat,60.0,1124,3,0
signum windmere,madhyamgram,46.0,955,2,0
asha chs,tollygunge phari,114.99999999999999,1068,2,0
russa house,tollygunge,110.00000000000001,1358,3,0
on request,"das nagar, bt road",45.0,750,2,0
