name,location,price,area,bhk
Jai Hanuman Residency,"3 BHK Flat in Konnagar, Hooghly",₹26.93 Lac,"1,036 sqft",3 BHK
Nirvana Apartment,"2 BHK Flat in Hindmotor, Uttarpara",₹18.2 Lac,728 sqft,2 BHK
elsiyum,"3 BHK Flat in Topsia, EM Bypass",₹2.5 Cr,"1,690 sqft",3 BHK
Bankim Enclave,"3 BHK Flat in Phoolbagan, Kankurgachi",₹1.5 Cr,"1,483 sqft",3 BHK
Basundhara Apartment,"3 BHK Flat in Goa Bagan, Kolkata",₹1.1 Cr,"1,365 sqft",3 BHK
jai matadi korunamoyee,"2 BHK Flat in Nitai Nagar, Mukundapur",₹70 Lac,"1,620 sqft",2 BHK
"1st floor, 46 a Girish Mukherjee Road Bhowanipur","3 BHK Flat in Bhawanipore, Sarat Bose Road",₹1.1 Cr,"1,200 sqft",3 BHK
Dakshini Apartments,"2 BHK Flat in Behala, Kolkata",₹22 Lac,700 sqft,2 BHK
"naam nei, mudiali, kolkata","Studio Apartments / 1 RK Flats in Mudially, Sarat Bose Road",₹50 Lac,186 sqft,1 BHK
Destination Peerless,"2 BHK Flat in Konnagar, Hooghly",₹34 Lac,"1,086 sqft",2 BHK
Alfa Rabindra Bhavan,"2 BHK Flat in Thakurpukur, Kolkata",₹33 Lac,650 sqft,2 BHK
"Fortune Heights
4.0","3 BHK Flat in Barasat, Kolkata North",₹73 Lac,"1,289 sqft",3 BHK
S D Rohini Complex,"2 BHK Flat in Rajarhat, Kolkata",₹49 Lac,"1,058 sqft",2 BHK
Madhyamgram Apartment,"2 BHK Flat in Madhyamgram, Kolkata",₹58.94 Lac,"1,387 sqft",2 BHK
"The Vedic Village
3.5","2 Bedroom Farm house in Rajarhat, Kolkata",₹4.4 Cr,"5,400 sqft",2 BHK
Rangit Residency,"3 BHK Flat in Madhyamgram, Kolkata",₹50 Lac,"1,498 sqft",3 BHK
Swagatam Apartment,"2 BHK Flat in Sree Colony, Kolkata",₹40 Lac,878 sqft,2 BHK
Dhanshree Towers,"2 BHK Flat in Alipore, Kolkata",₹1.25 Cr,"1,075 sqft",2 BHK
antaranga apartment nagerbazar,"2 BHK Flat in Nager Bazar, Jessore Road",₹52 Lac,784 sqft,2 BHK
"Vedic Village, Kolkata, Kolkata East","5 Bedroom House in Vedic Village, Kolkata",₹3.4 Cr,"10,800 sqft",5 BHK
Dream Park Apartment,"2 BHK Flat in Sonarpur, Kolkata",₹45 Lac,850 sqft,2 BHK
"Siddha Waterfront
3.7","3 BHK Flat in Khardah, BT Road",₹55 Lac,"1,175 sqft",3 BHK
Tubai Apartment,"2 BHK Flat in Satyen Park, Thakurpukur",₹28.5 Lac,950 sqft,2 BHK
"Siddha Suburbia
3.9","2 BHK Flat in Baruipur, Kolkata South",₹55 Lac,995 sqft,2 BHK
chowringhee house,"2 BHK Flat in Park Street, Kolkata",₹1.3 Cr,"1,116 sqft",2 BHK
Magnolia Sports City,"2 BHK Flat in Barrackpore, Kolkata",₹32 Lac,796 sqft,2 BHK
Maya apartment,"2 BHK Flat in Boral, Kolkata",₹29 Lac,850 sqft,2 BHK
"IRWO Rail Vihar
4.0","3 BHK Flat in New Town, Kolkata",₹1.4 Cr,"1,200 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Mandirtala, Shibpur",₹47 Lac,820 sqft,2 BHK
Nirala Apartment,"2 BHK Flat in Boral, Kolkata",₹18 Lac,500 sqft,2 BHK
"Fortune Township
4.3","3 BHK Flat in Barasat, Kolkata North",₹40 Lac,"1,101 sqft",3 BHK
"Durganagar, Belgharia Expressway, Kolkata, Kolkata North","6 Bedroom House in Durganagar, Belgharia Expressway, Kolkata",₹75 Lac,"1,550 sqft",6 BHK
"Eden City Maheshtala
3.9","3 BHK Flat in Maheshtala, Kolkata",₹42 Lac,"1,236 sqft",3 BHK
Magnolia Mulberry,"3 BHK Flat in New Town, Kolkata",₹73.5 Lac,876 sqft,3 BHK
Symphony Serenity,"2 BHK Flat in Kamalgazi, Southern Bypass",₹52 Lac,937 sqft,2 BHK
"Small complex, shantiuddan","3 BHK Flat in Behala Chowrasta, Kolkata",₹1.3 Cr,"2,000 sqft",3 BHK
R K Utthan 2,"3 BHK Flat in Chinar Park, Kolkata",₹95 Lac,"1,560 sqft",3 BHK
South City Villa,"3 BHK Flat in Tara Park, Behala",₹85 Lac,"1,435 sqft",3 BHK
Stadium View Chs Sector III Salt Lake,"3 BHK Flat in Sector 3 Salt Lake, Kolkata",₹95 Lac,"1,100 sqft",3 BHK
Ambuja Uddipa The Condoville,"2 BHK Flat in Sinthee, BT Road",₹85 Lac,919 sqft,2 BHK
sailoke apartment,"1 BHK Flat in Jadavpur, Kolkata",₹26 Lac,400 sqft,1 BHK
Starlite Sunny Seasons,"2 BHK Flat in Garia, Kolkata",₹45 Lac,880 sqft,2 BHK
"Sanjeevani Enclave, 406 GT Raod","2 BHK Flat in Bally, Howrah",₹72 Lac,"1,090 sqft",2 BHK
"Shankh Mani
3.4","2 BHK Flat in Tollygunge, Kolkata",₹90 Lac,"1,316 sqft",2 BHK
